申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,登記日期
買賣,土地,1,0,,,,,有,,"1,700,000",,,,無,1110309,,1,鹽府段,14,第四種商業區,,,,無建物主要用途資料,無建物主要建材,,,,,,,鹽府段 237-0 地號,鹽埕區,鹽府段,2370000,,0401.未登記建物,1110401
買賣,房地(土地+建物)+車位,1,1,1,,,,無,住宅大樓(11層含以上有電梯),"81,000,000",,,"3,400,000",有,1110118,,2,龍中段,27.26,第四種商業區,,,476.09,見其他登記事項,見其他登記事項,36,1041104,6,二十八層;,"3,400,000",19.19,神農路87號二十八樓,鼓山區,龍中段,270000,6934000,,1110401
買賣,房地(土地+建物),1,1,,4,2,5,有,住宅大樓(11層含以上有電梯),"39,200,000",,,,有,1110226,,2,青海段,28.54,特定第五種住宅區,,,386.94,見其他登記事項,見其他登記事項,29,1071213,3,十層;,,,美術北五街96號十樓,鼓山區,青海段,610000,14951000,,1110401
買賣,房地(土地+建物)+車位,1,1,2,,,,無,住宅大樓(11層含以上有電梯),"30,380,000",,,,有,1110214,,2,龍中段,22.15,第四種商業區,,,382.77,見其他登記事項,見其他登記事項,38,1040915,6,三十層;,0,39.52,龍勝路289號三十樓,鼓山區,龍中段,1330000,6701000,0505.毛胚屋,1110401
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,有,住宅大樓(11層含以上有電梯),"25,880,000",,,,有,1110221,,2,龍華段八小段,14.33,第四種商業區,,,257.71,住家用,見其他登記事項,28,1031006,7,九層;,0,15.96,文信路211號九樓,鼓山區,龍華段八小段,22800000,11033000,0102.傢俱設備費,1110401
買賣,房地(土地+建物),1,1,,4,2,4,有,透天厝,"19,150,000",,,,無,1110114,全棟屋況老舊.甲方同意自行修復並負擔修繕費用.乙方同意減價出售,2,內惟段六小段,84,第三種特定商業專用區,,,101.89,無建物主要用途資料,加強磚造,2,630415,48,一層;二層;騎樓;,,,青松街36號,鼓山區,內惟段六小段,540000,694000,,1110401
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"14,800,000",,,,有,1110218,,2,青海段,21.51,特定第五種住宅區,,,176.76,住家用,鋼筋混凝土造,14,921022,18,五層;,,,美術南三路253號五樓之2,鼓山區,青海段,5520000,852000,,1110401
買賣,房地(土地+建物)+車位,1,1,1,4,2,2,有,住宅大樓(11層含以上有電梯),"11,600,000",,,,有,1110226,,2,龍華段四小段,13.53,第五種住宅區,,,160.13,住家用,鋼筋混凝土造,27,840707,27,九層;,0,0,大順一路1041巷11號九樓之3,鼓山區,龍華段四小段,6180000,1725000,,1110401
買賣,房地(土地+建物),2,1,,5,2,3,有,透天厝,"11,360,000",,,,無,1110212,,2,內惟段六小段,78,第三種住宅區,,,72.68,無建物主要用途資料,加強磚造,2,620907,48,一層;二層;,,,銀川街12巷39號,鼓山區,內惟段六小段,7200000,616000,0302.頂樓加蓋0304.其他增建,1110401
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"10,350,000",,,,有,1110126,,2,青海段,12.73,特定第四種商業區,,,144.94,住家用,鋼筋混凝土造,15,951101,15,七層;,0,20.3,美術東六街117號七樓,鼓山區,青海段,2090000,7894000,,1110401
買賣,房地(土地+建物),1,1,,3,2,1,有,透天厝,"9,800,000",,,,無,1110223,,2,內惟段一小段,61,第三種住宅區,,,74.02,無建物主要用途資料,加強磚造,2,630601,48,一層;二層;,,,葆禎路58巷60號,鼓山區,內惟段一小段,13320000,105000,0304.其他增建,1110401
買賣,房地(土地+建物)+車位,1,1,1,2,2,1,有,住宅大樓(11層含以上有電梯),"9,660,000",,,,有,1110123,,2,青海段,13.64,特定第五種住宅區,,,122.44,住家用,鋼筋混凝土造,15,1011107,9,七層;,0,17.34,美術東八街110號七樓,鼓山區,青海段,6350000,11427000,,1110401
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"9,550,000",,,,有,1110215,,2,青海段,16.36,特定第五種住宅區,,,122,住家用,鋼筋混凝土造,14,940202,17,五層;,,,青海路80號五樓之1,鼓山區,青海段,6650000,3420000,,1110401
買賣,房地(土地+建物),4,1,,4,2,3,有,透天厝,"9,100,000",,,,無,1110306,,2,鼓中段三小段,201,第四種住宅區,,,106.76,無建物主要用途資料,加強磚造,2,631126,47,一層;二層;,,,鼓山二路161巷20號,鼓山區,鼓中段三小段,3940000,252000,,1110401
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"8,800,000",,,,有,1110302,,2,龍華段八小段,8.42,第四種商業區,,,90.26,住家用,鋼筋混凝土造,15,1030925,7,六層;,,,文忠路89號六樓,鼓山區,龍華段八小段,22100000,11113000,0301.陽台外推,1110401
買賣,房地(土地+建物)+車位,1,1,1,2,2,1,有,住宅大樓(11層含以上有電梯),"8,180,000",,,"890,304",有,1110209,,2,龍中段,10.72,第四種商業區,,,91.39,住家用,鋼筋混凝土造,15,950809,16,十一層;,"890,304",11.82,龍勝路172號十一樓,鼓山區,龍中段,870000,4187000,0101.裝潢費0102.傢俱設備費,1110401
買賣,房地(土地+建物),1,1,,2,2,2,有,華廈(10層含以下有電梯),"8,000,000",,,,有,1110216,,2,龍華段二小段,12.92,第三種住宅區,,,80.77,無建物主要用途資料,鋼筋混凝土造,7,760403,35,一層;騎樓;,,,瑞豐街69號,鼓山區,龍華段二小段,1870000,2209000,0303.夾層,1110401
買賣,房地(土地+建物)+車位,1,1,1,2,1,1,有,住宅大樓(11層含以上有電梯),"7,500,000",,,,有,1110302,按現況交屋,2,龍中段,9.54,第四種商業區,,,92.49,住家用,鋼筋混凝土造,15,950809,16,十層;,0,11.82,龍勝路168號十樓,鼓山區,龍中段,870000,4114000,,1110401
買賣,房地(土地+建物),1,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"6,000,000",,,,有,1110317,,2,龍華段二小段,10.76,第四種商業區,,,110.33,住家用,鋼筋混凝土造,16,831015,27,九層;電梯樓梯間;,,,文信路334號九樓,鼓山區,龍華段二小段,15680000,4657000,,1110401
