申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段
買賣,房地(土地+建物)+車位,1,1,1,0,2,2,Y,住宅大樓(11F含以上有電梯),6500000,,,750000,Y,1100227,,1,29,6.09,其他:第五種商業區,,,87.54,見其它登記事項,見其它登記事項,15,1090515,1,十四層,750000,5.54,大公路101號十四樓之6,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,0,2,1,Y,住宅大樓(11F含以上有電梯),5200000,,,650000,Y,1100305,,1,29,4.96,其他:第五種商業區,,,72.49,見其它登記事項,見其它登記事項,15,1090515,1,十五層,650000,5.54,大公路99號十五樓之5,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,1,0,1,Y,華廈(10F含以下有電梯),1220000,,,,N,1100321,,1,5,5.05,其他:第四種商業區,,,38.5,,鋼筋混凝土造,8,690912,41,五層,,,河西路115號5樓之5,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),5650000,,,,Y,1100325,,1,37,7.02,其他:第五種商業區,,,90.96,住家用,鋼筋混凝土造,15,980119,12,九層,,,光榮街85號九樓之4,鹽埕區,鹽新段
買賣,房地(土地+建物),1,1,,0,2,1,Y,住宅大樓(11F含以上有電梯),3990000,,,,Y,1080213,,1,29,4.45,其他:第五種商業區,,,66.95,見其它登記事項,見其它登記事項,15,1090515,0,十二層,,,大公路99號十二樓之7,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),8900000,,,750000,Y,1100309,,1,29,8.94,其他:第五種商業區,,,125.5,見其它登記事項,見其它登記事項,15,1090515,1,二層,750000,5.54,大公路101號二樓之6,鹽埕區,興仁段
買賣,土地,2,0,,,,,Y,,4185785,,,,N,1100329,,1,29,66,其他:第四種商業區,,,,,,,,,,,,興仁段230-0地號,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),9280000,,,1400000,Y,1100310,,1,29,8.21,其他:第五種商業區,,,126.63,見其它登記事項,見其它登記事項,15,1090515,1,十四層,1400000,16.41,大公路101號十四樓之3,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),7700000,,,750000,Y,1100309,,1,29,8.6,其他:第五種商業區,,,120.91,見其它登記事項,見其它登記事項,15,1090515,1,二層,750000,5.54,大公路101號二樓之3,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),8000000,,,950000,Y,1100311,,1,29,8.6,其他:第五種商業區,,,120.91,見其它登記事項,見其它登記事項,15,1090515,1,三層,950000,5.54,大公路101號三樓之3,鹽埕區,興仁段
買賣,土地,1,0,,,,,Y,,9990000,,,,N,1100329,,1,30,113.32,其他:第四種住宅區,,,,,,,,,,,,興福段586-0地號,鹽埕區,興福段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),8850000,,,,Y,1100407,,1,30,13.58,其他:第三種商業區,,,122.77,住家用,鋼筋混凝土造,14,951205,14,八層,0,6.63,七賢三路3號八樓之7,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1600000,,,,Y,1100419,其他增建;臥室加蓋鐵窗,1,5,4.04,其他:第五種商業區,,,47.91,,鋼筋混凝土造,12,701124,39,六層,,,府北路25號6樓之28,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),550000,,,,Y,1100418,,1,5,1.92,其他:第四種商業區,,,20.39,,鋼筋混凝土造,12,691117,40,十一層,,,府北路20號11樓之8,鹽埕區,府北段五小段
買賣,房地(土地+建物)+車位,1,1,1,0,2,2,Y,住宅大樓(11F含以上有電梯),6000000,,,800000,Y,1080109,,1,29,6.56,其他:第五種商業區,,,95.7,見其它登記事項,見其它登記事項,15,1090515,0,七層,800000,5.54,大公路101號七樓之2,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,1,2,2,Y,住宅大樓(11F含以上有電梯),9160000,,,1250000,Y,1100407,,1,29,8.94,其他:第五種商業區,,,136.38,見其它登記事項,見其它登記事項,15,1090515,1,七層,1250000,16.41,大公路101號七樓之6,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),8300000,,,950000,Y,1100310,,1,29,7.97,其他:第五種商業區,,,112.34,見其它登記事項,見其它登記事項,15,1090515,1,十二層,950000,5.54,大公路101號十二樓之1,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1930000,,,,Y,1100204,,1,5,4.84,其他:第五種商業區,,,56.09,,鋼筋混凝土造,12,701124,39,五層,,,府北路25號5樓之25,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,2,2,1,Y,住宅大樓(11F含以上有電梯),6000000,,,,Y,1100501,,1,37,7.02,其他:第五種商業區,,,90.96,住家用,鋼筋混凝土造,15,980119,12,十三層,,,光榮街85號十三樓之4,鹽埕區,鹽新段
買賣,房地(土地+建物),2,1,,4,2,2,Y,華廈(10F含以下有電梯),8880000,,,,Y,1100429,,1,35,34.67,其他:第四種住宅區,,,140.6,,鋼筋混凝土造,7,730721,37,一層,,,公園二路26之14號,鹽埕區,大成段
買賣,建物,0,1,,,,,N,住宅大樓(11F含以上有電梯),850000,,,,Y,1100409,,1,41,,,,,31.83,,鋼筋混凝土造,16,750217,35,十一層,,,七賢三路269號11樓之53,鹽埕區,鹽壽段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),6580000,,,750000,Y,1100415,,1,29,6.06,其他:第五種商業區,,,87.14,見其它登記事項,見其它登記事項,15,1090515,1,十四層,750000,5.54,大公路99號十四樓之5,鹽埕區,興仁段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),1000000,,,,Y,1100426,,1,41,,,,,34.8,,鋼筋混凝土造,16,750217,35,十一層,,,七賢三路269號11樓之36,鹽埕區,鹽壽段
買賣,房地(土地+建物),2,1,,3,2,2,Y,透天厝,11800000,,,,N,1100409,,1,36,70,其他:第五種商業區,,,155.74,住商用,加強磚造,3,350110,75,一層;二層;三層;騎樓,,,光榮街58之3號,鹽埕區,大智段
買賣,房地(土地+建物),2,1,,2,2,2,Y,透天厝,3500000,,,,N,1100409,,1,34,40,其他:第四種住宅區,,,63.9,住家用,加強磚造,2,600624,50,一層;二層,,,大智路35巷5號,鹽埕區,大榮段
買賣,房地(土地+建物),3,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1360000,,,,Y,1100318,,1,5,4.24,其他:第五種商業區,,,38.68,,鋼筋混凝土造,12,681218,41,四層,,,府北路1號4樓之5,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,2,,2,0,2,Y,住宅大樓(11F含以上有電梯),1300000,,,,Y,1100516,,1,33,19.23,,,,65.65,,鋼筋混凝土造,12,700603,40,三層,,,七賢三路68號3樓之2,鹽埕區,大勇段
買賣,房地(土地+建物),1,1,,8,2,4,Y,透天厝,39980000,,,,N,1100428,其他增建;本物件四樓增建，壹樓空地,1,35,141,其他:第四種住宅區,,,383.73,,加強磚造,3,620516,48,一層;二層;三層;騎樓,,,大禮街10號,鹽埕區,大成段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),690000,,,,Y,1100501,,1,41,,,,,37.37,,鋼筋混凝土造,16,750217,35,十四層,,,七賢三路269號14樓之20,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,5,2,4,Y,透天厝,19000000,,,,N,1100430,,1,30,78.41,,,,182.5,見其它登記事項,見其它登記事項,4,1090917,1,一層;二層;三層;四層,,,必忠街275巷15號,鹽埕區,興福段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),8980000,,,950000,Y,1100330,,1,29,8.94,其他:第五種商業區,,,125.5,見其它登記事項,見其它登記事項,15,1090515,1,十層,950000,5.54,大公路101號十樓之6,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,3,2,2,Y,住宅大樓(11F含以上有電梯),8300000,,,,Y,1100416,,1,37,10.79,其他:第五種商業區,,,140.27,住家用,鋼筋混凝土造,15,980119,12,九層,,,光榮街85號九樓之1,鹽埕區,鹽新段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),2620000,,,,Y,1100426,,1,5,5.34,其他:第四種商業區,,,65.65,住家用,鋼筋混凝土造,12,790404,31,十層,,,河西路118號十樓之1,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,4,2,2,Y,住宅大樓(11F含以上有電梯),7650000,,,,Y,1100417,,1,29,17.2,其他:第四種商業區,,,145.45,住家用,鋼筋混凝土造,13,830905,27,十三層,,,五福四路278號十三樓,鹽埕區,興仁段
買賣,房地(土地+建物),2,1,,2,3,1,Y,透天厝,3100000,,,,N,1100603,,1,40,34,其他:第四種商業區,,,85.42,住商用,鋼筋混凝土造,4,581006,52,一層;二層;三層;四層,,,富野路88巷8號,鹽埕區,鹽府段
買賣,房地(土地+建物)+車位,1,1,1,0,2,2,Y,住宅大樓(11F含以上有電梯),19600000,,,,Y,1100503,,1,30,13.97,其他:第三種商業區,,,139.33,商業用,鋼筋混凝土造,15,960103,14,一層;見其它登記事項,0,16.56,七賢三路1之3號,鹽埕區,興福段
買賣,房地(土地+建物),1,1,,2,2,1,Y,住宅大樓(11F含以上有電梯),5000000,,,,Y,1100510,,1,29,4.48,其他:第五種商業區,,,67.34,見其它登記事項,見其它登記事項,15,1090515,1,十四層,,,大公路99號十四樓之1,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,5,2,5,Y,透天厝,25500000,,,,N,1100520,陽台外推;其他增建;增建至六樓,1,31,98.59,其他:第四種商業區,,,508.88,,鋼筋混凝土造,5,721012,38,一層;二層;三層;四層;五層;騎樓;地下層,,,新樂街254號,鹽埕區,興橋段
買賣,房地(土地+建物)+車位,1,2,3,9,0,10,Y,華廈(10F含以下有電梯),10700000,,,,Y,1100416,鹽埕區府北段五小段0246-0000地號，賣方於107年06月取得土地持分99/10000，此次該部分移轉價格，為新台幣6萬元整。,1,5,36.59,其他:第四種商業區,,,389.92,,鋼筋混凝土造,10,710531,39,一層;二層;三層;四層,0,0,富野路56巷12號,鹽埕區,府北段五小段
買賣,房地(土地+建物)+車位,1,1,1,2,2,1,Y,住宅大樓(11F含以上有電梯),6430000,,,,Y,1100427,,1,29,6.01,其他:第五種商業區,,,87.54,見其它登記事項,見其它登記事項,15,1090515,1,十二層,0,5.54,大公路101號十二樓之6,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1180000,,,,Y,1100506,,1,5,2.98,其他:第四種商業區,,,34.74,,鋼筋混凝土造,12,690618,41,十層,,,府北路36號10樓之1,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,3,2,2,Y,透天厝,6800000,,,,N,1100506,,1,33,24,其他:第四種商業區,,,92.52,住商用,加強磚造,4,500606,60,一層;二層;三層;四層;騎樓,,,瀨南街91號,鹽埕區,大勇段
買賣,房地(土地+建物),3,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1200000,,,,Y,1100616,,1,5,4.18,其他:第五種商業區,,,38.56,,鋼筋混凝土造,12,681218,41,十一層,,,府北路1號11樓之5,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,4,1,2,Y,公寓(5F含以下無電梯),3620000,,,,N,1100514,,1,31,34.74,其他:第四種住宅區,,,87.61,,鋼筋混凝土造,5,680811,42,二層,,,大仁路260巷21號2樓之1,鹽埕區,興橋段
買賣,土地,2,0,,,,,Y,,1330000,,,,N,1100323,,1,38,18.46,其他:第四種商業區,,,,,,,,,,,,鹽國段213-0地號,鹽埕區,鹽國段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),950000,,,,Y,1100317,,1,5,2.28,其他:第四種商業區,,,29.7,,鋼筋混凝土造,12,690618,41,七層,,,府北路36號7樓之2,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,4,2,4,Y,住宅大樓(11F含以上有電梯),14000000,,,,Y,1100325,,1,36,30.21,其他:第四種商業區,,,308.83,住家用,鋼筋混凝土造,12,801029,29,七層,,,大智路122號七樓,鹽埕區,大智段
買賣,房地(土地+建物),1,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),800000,,,,Y,1100407,,1,37,3.26,其他:第五種商業區,,,34.54,,鋼筋混凝土造,12,720523,38,六層,,,莒光街219號6樓之8,鹽埕區,鹽新段
買賣,房地(土地+建物),1,1,,3,1,1,Y,公寓(5F含以下無電梯),5080000,,,,N,1100407,,1,30,24.6,其他:第四種住宅區,,,80.25,,鋼筋混凝土造,5,660824,44,一層;騎樓,,,大安街104號,鹽埕區,興福段
買賣,房地(土地+建物),3,1,,1,1,1,Y,透天厝,970000,,,,N,1100415,,1,32,30.65,其他:市場用地,,,24.64,住商用,加強磚造,2,550312,55,一層;二層,,,大勇市場3號,鹽埕區,大東段
