申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
買賣,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"29,800,000",,,"4,400,000",有,1110329,17.45,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,303.46,見其他登記事項,見其他登記事項,029,1120418,0,二十四層;,"4,400,000",55.66,七賢二路460號二十四樓之5,鹽埕區,鹽府段,01960000,00567000,0901.預售屋、或土地及建物分件登記案件,
買賣,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"29,520,000",,,"4,150,000",有,1110215,17.45,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,301.35,見其他登記事項,見其他登記事項,029,1120418,0,二十二層;,"4,150,000",53.55,七賢二路460號二十二樓之5,鹽埕區,鹽府段,01960000,00565000,0901.預售屋、或土地及建物分件登記案件,
買賣,房地(土地+建物)+車位,1,1,2,4,2,2,有,住宅大樓(11層含以上有電梯),"28,900,000",,,"4,200,000",有,1101213,17.45,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,303.46,見其他登記事項,見其他登記事項,029,1120418,0,二十層;,"4,200,000",55.60,七賢二路460號二十樓之5,鹽埕區,鹽府段,01960000,00563000,0901.預售屋、或土地及建物分件登記案件,
買賣,房地(土地+建物),2,1,,3,2,2,有,透天厝,"21,880,000",,,,無,1111206,117.00,其他-第四種住宅區,無使用分區資料,無土地編定使用地類別資料,234.83,住家用,加強磚造,002,0400501,72,一層;二層;騎樓;夾層;,,,建國四路40之1號,鹽埕區,興福段,06390000,00946000,0304.其他增建,頂樓鐵皮屋頂、騎樓外推
買賣,房地(土地+建物),3,1,,5,3,7,有,透天厝,"21,500,000",,,,無,1120331,85.50,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,231.87,住商用,鋼筋混凝土造,004,0780310,34,一層;二層;三層;四層;屋頂突出物;騎樓;,,,七賢三路161號,鹽埕區,興仁段,04390000,00510000,0102.傢俱設備費0304.其他增建,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"20,500,000",,,"2,050,000",有,1120420,17.84,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,213.33,見其他登記事項,見其他登記事項,015,1070830,5,四層;,"2,050,000",19.11,建國四路158號四樓之7,鹽埕區,興仁段,05630000,00950000,,
買賣,房地(土地+建物)+車位,2,1,1,4,2,2,有,住宅大樓(11層含以上有電梯),"20,000,000",,,,有,1120309,17.25,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,220.71,住家用,鋼筋混凝土造,015,1040323,8,三層;,0,20.14,五福四路83之1號三樓,鹽埕區,大成段,07150000,01037000,0102.傢俱設備費,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"19,120,000",,,"1,600,000",有,1120430,16.23,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,194.16,見其他登記事項,見其他登記事項,015,1070830,5,六層;,"1,600,000",19.11,建國四路158號六樓之3,鹽埕區,興仁段,05630000,00910000,,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,200,000",,,"2,200,000",有,1090510,13.58,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十五層;,"2,200,000",27.83,七賢二路460號二十五樓之1,鹽埕區,鹽府段,01960000,00488000,0901.預售屋、或土地及建物分件登記案件,
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"17,340,000",,,"2,200,000",有,1100408,13.58,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十三層;,"2,200,000",27.83,七賢二路460號二十三樓之1,鹽埕區,鹽府段,01960000,00486000,0901.預售屋、或土地及建物分件登記案件,
