申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
1120703,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"21,560,000",,,"2,000,000",有,1110117,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十七層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號二十七樓之１,鹽埕區,鹽府段,01960000,00490000,0901.預售屋、或土地及建物分件登記案件,
1120713,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"20,180,000",,,"2,100,000",有,1101113,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十六層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號二十六樓之１,鹽埕區,鹽府段,01960000,00489000,0901.預售屋、或土地及建物分件登記案件,
1120601,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"19,050,000",,,"2,100,000",有,1100714,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十九層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號二十九樓之１,鹽埕區,鹽府段,01960000,00492000,0901.預售屋、或土地及建物分件登記案件,
1120718,房地(土地+建物),3,1,,11,11,11,有,住宅大樓(11層含以上有電梯),"18,500,000",,,,有,1120509,53.96,其他-第五種商業區,,,499.64,無建物主要用途資料,鋼筋混凝土造,012,0681218,43,三層;,,,高雄市鹽埕區府北路１號３樓之１,鹽埕區,府北段五小段,02110000,00141000,,
1120601,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,400,000",,,"2,300,000",有,1100826,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十六層;,"2,300,000",27.83,高雄市鹽埕區七賢二路４６０號二十六樓之２,鹽埕區,鹽府段,01960000,00516000,0901.預售屋、或土地及建物分件登記案件,
1120804,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,300,000",,,"2,100,000",有,1100905,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十七層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號二十七樓之２,鹽埕區,鹽府段,01960000,00517000,0901.預售屋、或土地及建物分件登記案件,
1120724,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"18,220,000",,,"2,100,000",有,1100830,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十二層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號二十二樓之１,鹽埕區,鹽府段,01960000,00485000,0901.預售屋、或土地及建物分件登記案件,
1120703,房地(土地+建物)+車位,1,1,2,3,2,2,有,住宅大樓(11層含以上有電梯),"17,940,000",,,"4,400,000",有,1100405,12.70,其他-第四種商業區,,,235.98,見其他登記事項,見其他登記事項,029,1120418,0,十八層;,"4,400,000",55.66,高雄市鹽埕區七賢二路４６０號十八樓之２,鹽埕區,鹽府段,01960000,00508000,0901.預售屋、或土地及建物分件登記案件,
1120804,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"17,600,000",,,"2,200,000",有,1090710,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十八層;,"2,200,000",27.83,高雄市鹽埕區七賢二路４６０號二十八樓之２,鹽埕區,鹽府段,01960000,00518000,0901.預售屋、或土地及建物分件登記案件,
1120724,房地(土地+建物),2,1,,,,,無,透天厝,"17,580,000",,,,無,1120608,127.00,其他-第五種商業區,,,146.20,住家用,加強磚造,004,0560406,56,一層;二層;三層;四層;騎樓;,,,高雄市鹽埕區七賢三路２６０號,鹽埕區,鹽府段,01010000,00059000,,
1120724,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"17,120,000",,,"2,200,000",有,1101030,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,九層;,"2,200,000",27.83,高雄市鹽埕區七賢二路４６０號九樓之１,鹽埕區,鹽府段,01960000,00472000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"17,060,000",,,"1,700,000",有,1101015,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十四層;,"1,700,000",27.83,高雄市鹽埕區七賢二路４６０號十四樓之１,鹽埕區,鹽府段,01960000,00477000,0901.預售屋、或土地及建物分件登記案件,
1120713,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"17,050,000",,,"1,700,000",有,1101020,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十三層;,"1,700,000",27.83,高雄市鹽埕區七賢二路４６０號十三樓之１,鹽埕區,鹽府段,01960000,00476000,0901.預售屋、或土地及建物分件登記案件,
1120805,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"17,000,000",,,,有,1120802,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十一層;,0,27.83,高雄市鹽埕區七賢二路４６０號二十一樓之１,鹽埕區,鹽府段,01960000,00484000,,
1120713,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,900,000",,,"2,100,000",有,1091129,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號二十樓之１,鹽埕區,鹽府段,01960000,00483000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,880,000",,,"2,000,000",有,1100407,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十一層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號二十一樓之１,鹽埕區,鹽府段,01960000,00484000,0901.預售屋、或土地及建物分件登記案件,
1120626,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,860,000",,,"2,200,000",有,1100918,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十二層;,"2,200,000",27.83,高雄市鹽埕區七賢二路４６０號十二樓之１,鹽埕區,鹽府段,01960000,00475000,0901.預售屋、或土地及建物分件登記案件,
1120626,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,530,000",,,"2,000,000",有,1100320,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十九層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號十九樓之１,鹽埕區,鹽府段,01960000,00482000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,480,000",,,"1,800,000",有,1100430,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十八層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號十八樓之１,鹽埕區,鹽府段,01960000,00481000,0901.預售屋、或土地及建物分件登記案件,
1120601,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,450,000",,,"1,800,000",有,1090831,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十四層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號二十四樓之２,鹽埕區,鹽府段,01960000,00514000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,360,000",,,"2,000,000",有,1100320,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十七層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號十七樓之１,鹽埕區,鹽府段,01960000,00480000,0901.預售屋、或土地及建物分件登記案件,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,350,000",,,"2,000,000",有,1100710,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十五層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號十五樓之１,鹽埕區,鹽府段,01960000,00478000,0901.預售屋、或土地及建物分件登記案件,本案於111.12.29讓渡，讓渡金額為新台幣1665萬元整。
1120724,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,300,000",,,"1,800,000",有,1100506,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,十六層;,"1,800,000",27.83,高雄市鹽埕區七賢二路４６０號十六樓之１,鹽埕區,鹽府段,01960000,00479000,0901.預售屋、或土地及建物分件登記案件,
1120809,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,230,000",,,"2,100,000",有,1090702,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十二層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號二十二樓之２,鹽埕區,鹽府段,01960000,00512000,0901.預售屋、或土地及建物分件登記案件,
1120719,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,200,000",,,"2,000,000",有,1100510,13.69,其他-第四種商業區,,,222.37,見其他登記事項,見其他登記事項,029,1120418,0,十四層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號十四樓之２,鹽埕區,鹽府段,01960000,00504000,0901.預售屋、或土地及建物分件登記案件,
1120703,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,180,000",,,"2,000,000",有,1090819,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十三層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號二十三樓之２,鹽埕區,鹽府段,01960000,00513000,0901.預售屋、或土地及建物分件登記案件,
1120724,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,000,000",,,"1,700,000",有,1120522,13.58,其他-第四種商業區,,,220.54,見其他登記事項,見其他登記事項,029,1120418,0,二十四層;,"1,700,000",27.83,高雄市鹽埕區七賢二路４６０號二十四樓之１,鹽埕區,鹽府段,01960000,00487000,0201.親友、員工、共有人或其他特殊關係間之交易,
1120607,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,900,000",,,"2,100,000",有,1090807,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十層;,"2,100,000",27.83,高雄市鹽埕區七賢二路４６０號二十樓之２,鹽埕區,鹽府段,01960000,00510000,0901.預售屋、或土地及建物分件登記案件,
1120601,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"15,880,000",,,"2,000,000",有,1090818,12.70,其他-第四種商業區,,,208.15,見其他登記事項,見其他登記事項,029,1120418,0,二十一層;,"2,000,000",27.83,高雄市鹽埕區七賢二路４６０號二十一樓之２,鹽埕區,鹽府段,01960000,00511000,0901.預售屋、或土地及建物分件登記案件,
