申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,登記日期
買賣,房地(土地+建物),1,1,,3,2,3,有,住宅大樓(11層含以上有電梯),"17,670,000",,,,有,1100513,,3,新庄段十二小段,18.28,第四種住宅區,,,145.19,住商用,鋼筋混凝土造,14,830803,27,一層;二層;騎樓;,,,明華一路101號,左營區,新庄段十二小段,9930000,2927000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"16,600,000",,,,有,1100523,,3,新庄段二小段,21.57,第二種特定商業專用區,,,182.89,住家用,鋼筋混凝土造,15,1021106,8,十二層;,0,26.34,太華街32號十二樓,左營區,新庄段二小段,7920000,5182000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,1,2,有,住宅大樓(11層含以上有電梯),"12,970,000",,,"1,250,000",有,1051219,,3,新庄段十三小段,7.49,第五種商業區,,,175.07,見其他登記事項,見其他登記事項,28,1100317,0,五層;,"1,250,000",43.35,博愛二路322號五樓之1,左營區,新庄段十三小段,15380000,6310000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物)+車位,1,1,2,3,2,2,有,住宅大樓(11層含以上有電梯),"12,800,000",,,"3,560,000",有,1100611,,3,左洲段,32.45,第三種住宅區,,,216.05,見其他登記事項,見其他登記事項,14,1080724,2,九層;,"3,560,000",69.5,洲仔東街205號九樓,左營區,左洲段,400000,117000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"12,130,000",,,"1,000,000",有,1100507,,3,福民段,21.51,第五種住宅區,,,179.72,住家用,鋼筋混凝土造,15,1021014,8,二層;,"1,000,000",40.32,文自路787號二樓,左營區,福民段,2590001,5003000,,1100701
買賣,房地(土地+建物),1,1,,,,,無,住宅大樓(11層含以上有電梯),"11,680,000",,,,有,1100427,,3,新康段,8.17,第五種住宅區,,,102.7,見其他登記事項,見其他登記事項,13,1090110,1,三層;,,,文康路16號三樓之5,左營區,新康段,60000,47000,,1100701
買賣,房地(土地+建物),1,1,,,,,無,住宅大樓(11層含以上有電梯),"11,580,000",,,,有,1100427,,3,新康段,8.17,第五種住宅區,,,102.7,見其他登記事項,見其他登記事項,13,1090110,1,二層;,,,文康路16號二樓之5,左營區,新康段,60000,46000,,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,1,1,有,住宅大樓(11層含以上有電梯),"9,540,000",,,"850,000",有,1100308,,3,新庄段十三小段,5.7,第五種商業區,,,119.97,見其他登記事項,見其他登記事項,28,1100317,0,四層;,"850,000",18.11,博愛二路322號四樓之9,左營區,新庄段十三小段,15380000,6484000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"8,250,000",,,,有,1100518,,3,福山段,15.1,第五種住宅區,,,151.16,住家用,見其他登記事項,14,920114,18,十層;,0,29.92,文學路681號十樓之1,左營區,福山段,10000,5121000,,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"7,420,000",,,,有,1060110,,3,新庄段十三小段,4.54,第五種商業區,,,83.33,見其他登記事項,見其他登記事項,28,1100317,0,十層;,,,博愛二路322號十樓之13,左營區,新庄段十三小段,15380000,6540000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"7,040,000",,,,有,1090918,,3,新庄段十三小段,4.36,第五種商業區,,,88.12,見其他登記事項,見其他登記事項,28,1100317,0,三層;,,,博愛二路322號三樓之2,左營區,新庄段十三小段,15380000,6333000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物)+車位,1,1,1,2,1,1,有,住宅大樓(11層含以上有電梯),"6,950,000",,,"900,000",有,1051230,,3,新庄段十三小段,3.8,第五種商業區,,,85.05,見其他登記事項,見其他登記事項,28,1100317,0,十六層;,"900,000",18.11,博愛二路322號十六樓之12,左營區,新庄段十三小段,15380000,6571000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"6,280,000",,,,有,1060123,,3,新庄段十三小段,3.64,第五種商業區,,,66.94,見其他登記事項,見其他登記事項,28,1100317,0,二十二層;,,,博愛二路322號二十二樓之12,左營區,新庄段十三小段,15380000,6577000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"6,240,000",,,,有,1060123,,3,新庄段十三小段,3.74,第五種商業區,,,68.69,見其他登記事項,見其他登記事項,28,1100317,0,十六層;,,,博愛二路322號十六樓之8,左營區,新庄段十三小段,15380000,6471000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"6,160,000",,,,有,1060406,,3,新庄段十三小段,3.72,第五種商業區,,,68.29,見其他登記事項,見其他登記事項,28,1100317,0,十三層;,,,博愛二路322號十三樓之5,左營區,新庄段十三小段,15380000,6393000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"6,000,000",,,,有,1060405,,3,新庄段十三小段,3.72,第五種商業區,,,68.2,見其他登記事項,見其他登記事項,28,1100317,0,九層;,,,博愛二路322號九樓之5,左營區,新庄段十三小段,15380000,6389000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"6,000,000",,,,有,1100509,,3,新民段,6.4,第五種住宅區,,,85.55,住家用,見其他登記事項,22,860421,24,四層;,,,曾子路210巷9號四樓,左營區,新民段,610000,1938000,,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"5,950,000",,,,有,1060515,,3,新庄段十三小段,3.76,第五種商業區,,,69.03,見其他登記事項,見其他登記事項,28,1100317,0,四層;,,,博愛二路322號四樓之3,左營區,新庄段十三小段,15380000,6359000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"5,800,000",,,,有,1090820,,3,新庄段十三小段,3.52,第五種商業區,,,71.19,見其他登記事項,見其他登記事項,28,1100317,0,三層;,,,博愛二路322號三樓之6,左營區,新庄段十三小段,15380000,6408000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"5,730,000",,,,有,1090819,,3,新庄段十三小段,3.42,第五種商業區,,,69.04,見其他登記事項,見其他登記事項,28,1100317,0,三層;,,,博愛二路322號三樓之3,左營區,新庄段十三小段,15380000,6358000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"5,570,000",,,,有,1090819,,3,新庄段十三小段,3.36,第五種商業區,,,67.82,見其他登記事項,見其他登記事項,28,1100317,0,三層;,,,博愛二路322號三樓之5,左營區,新庄段十三小段,15380000,6383000,0901.預售屋、或土地及建物分件登記案件,1100701
買賣,房地(土地+建物),1,1,,2,1,1,有,住宅大樓(11層含以上有電梯),"4,990,000",,,,有,1090907,,3,新庄段十三小段,3.02,第五種商業區,,,61.06,見其他登記事項,見其他登記事項,28,1100317,0,三層;,,,博愛二路322號三樓之11,左營區,新庄段十三小段,15380000,6583000,0901.預售屋、或土地及建物分件登記案件,1100701
