申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),9700000,,,1300000,Y,1091005,,1,29,8.6,其他:第五種商業區,,,131.78,見其它登記事項,見其它登記事項,15,1090515,0,八層,1300000,16.41,大公路101號八樓之3,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,2,2,2,Y,住宅大樓(11F含以上有電梯),7200000,,,,Y,1091128,,1,29,8.6,其他:第五種商業區,,,115.37,見其它登記事項,見其它登記事項,15,1090515,1,六層,,,大公路101號六樓之3,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,,,,N,住宅大樓(11F含以上有電梯),6500000,,,750000,Y,1091020,,1,29,6.71,其他:第五種商業區,,,95.7,見其它登記事項,見其它登記事項,15,1090515,0,八層,750000,5.54,大公路101號八樓之2,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,1,2,2,Y,住宅大樓(11F含以上有電梯),9600000,,,1300000,Y,1091029,,1,29,8.6,其他:第五種商業區,,,130.2,見其它登記事項,見其它登記事項,15,1090515,0,十四層,1300000,14.16,大公路99號十四樓之3,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,,,,N,住宅大樓(11F含以上有電梯),3750000,,,,Y,1070618,,1,29,4.48,其他:第五種商業區,,,67.34,見其它登記事項,見其它登記事項,15,1090515,0,五層,,,大公路99號五樓之1,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,2,2,2,Y,住宅大樓(11F含以上有電梯),6200000,,,,Y,1091126,,1,29,6.71,其他:第五種商業區,,,90.16,見其它登記事項,見其它登記事項,15,1090515,1,三層,,,大公路101號三樓之2,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),9500000,,,750000,Y,1091024,,1,29,8.94,其他:第五種商業區,,,125.5,見其它登記事項,見其它登記事項,15,1090515,0,九層,750000,5.54,大公路101號九樓之6,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,,,,N,住宅大樓(11F含以上有電梯),5450000,,,750000,Y,1091018,,1,29,5.17,其他:第五種商業區,,,75.25,見其它登記事項,見其它登記事項,15,1090515,0,十四層,750000,5.54,大公路99號十四樓之7,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),9500000,,,1300000,Y,1091120,,1,29,7.97,其他:第五種商業區,,,123.21,見其它登記事項,見其它登記事項,15,1090515,1,十三層,1300000,16.41,大公路101號十三樓之1,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),8150000,,,1750000,Y,1071021,,1,29,9.64,其他:第五種商業區,,,136.38,見其它登記事項,見其它登記事項,15,1090515,0,六層,1750000,16.41,大公路101號六樓之6,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,,,,N,住宅大樓(11F含以上有電梯),4990000,,,,Y,1091214,,1,29,5.17,其他:第五種商業區,,,69.71,見其它登記事項,見其它登記事項,15,1090515,1,十五層,,,大公路99號十五樓之6,鹽埕區,興仁段
買賣,房地(土地+建物),5,1,,1,1,1,Y,華廈(10F含以下有電梯),1050000,,,,N,1100117,,1,42,3.69,其他:第四種商業區,,,29.13,,鋼筋混凝土造,10,701230,39,九層,,,北端街80號9樓之5,鹽埕區,鹽北段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),420000,,,,N,1100117,,1,5,2.45,其他:第四種商業區,,,27.84,,鋼筋混凝土造,12,691117,40,六層,,,府北路20號6樓之1,鹽埕區,府北段五小段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),5400000,,,,Y,1091219,,1,32,17.34,其他:第三種商業區,,,135.44,住家用,鋼筋混凝土造,12,871208,22,二層,0,0,堀江街31號二樓之2,鹽埕區,大東段
買賣,房地(土地+建物),3,1,,3,2,2,Y,公寓(5F含以下無電梯),5000000,,,,N,1091224,,1,35,37.11,其他:第四種住宅區,,,116.27,住家用,鋼筋混凝土造,5,800420,30,三層,,,公園二路95號三樓,鹽埕區,大成段
買賣,房地(土地+建物),3,1,,3,2,2,Y,公寓(5F含以下無電梯),5000000,,,,N,1091224,,1,35,37.11,其他:第四種住宅區,,,116.27,住家用,鋼筋混凝土造,5,800420,30,四層,,,公園二路95號四樓,鹽埕區,大成段
買賣,房地(土地+建物),3,1,,3,2,2,Y,公寓(5F含以下無電梯),6000000,,,,N,1091224,,1,35,37.11,其他:第四種住宅區,,,116.27,住家用,鋼筋混凝土造,5,800420,30,五層,,,公園二路95號五樓,鹽埕區,大成段
買賣,建物,0,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),300000,,,,Y,1091226,,1,5,,,,,27.2,,鋼筋混凝土造,12,700114,40,八層,,,府北路31號8樓之15,鹽埕區,府北段五小段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),550000,,,,Y,1100104,,1,41,,,,,35.49,,鋼筋混凝土造,16,750217,35,十五層,,,七賢三路269號15樓之35,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),940000,,,,Y,1100109,,1,5,3,其他:第四種商業區,,,37.63,,鋼筋混凝土造,12,710226,39,八層,,,河西路103號8樓之7,鹽埕區,府北段五小段
買賣,房地(土地+建物),5,1,,,,,N,透天厝,43000000,,,,N,1091210,,1,41,209,其他:第四種商業區,,,824.1,,鋼筋混凝土造,5,560717,53,一層;二層;三層;四層;五層;騎樓,,,建國四路258號,鹽埕區,鹽壽段
買賣,建物,0,2,,1,1,1,Y,住宅大樓(11F含以上有電梯),1250000,,,,Y,1091227,,1,41,,,,,69.43,,鋼筋混凝土造,16,750217,35,六層,,,北斗街5號6樓之49,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,,,,N,住宅大樓(11F含以上有電梯),750000,,,,Y,1100121,,1,5,0.7,其他:第四種商業區,,,11.54,,鋼筋混凝土造,12,710226,39,一層,,,大勇路183巷4號,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,,,,N,透天厝,10080000,,,,N,1091227,其他增建;屋況老舊,1,41,77,其他:第四種商業區,,,122.11,商業用,見使用執照,2,340922,75,一層;二層;騎樓,,,新興街231號,鹽埕區,鹽壽段
買賣,房地(土地+建物),3,1,,,,,N,透天厝,170500000,,,,N,1091230,,1,36,587.53,其他:第四種商業區,,,3259.91,見使用執照,鋼筋混凝土造,8,561004,53,一層;二層;三層;四層;五層;六層;七層;八層;屋頂突出物;騎樓;地下層,,,河西路8號,鹽埕區,大智段
買賣,房地(土地+建物),2,1,,4,2,2,Y,透天厝,30000000,,,,N,1100104,,1,32,117,其他:第三種商業區,,,577.14,,鋼筋混凝土造,6,681225,41,一層;二層;三層;四層;五層;六層;騎樓;地下層,,,公園二路187號,鹽埕區,大東段
買賣,建物,0,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),550000,,,,Y,1100129,,1,5,,,,,27.2,,鋼筋混凝土造,12,700114,40,九層,,,府北路31號9樓之19,鹽埕區,府北段五小段
買賣,土地,1,0,,,,,Y,,15000000,,,,N,1091207,,1,39,116.92,其他:第四種商業區,,,,,,,,,,,,鹽中段477-0地號,鹽埕區,鹽中段
買賣,房地(土地+建物),2,1,,,,,N,透天厝,15000000,,,,N,1091207,,1,39,87,其他:第四種商業區,,,124.48,,見使用執照,2,2010,89,一層;二層;騎樓,,,大公路71號,鹽埕區,鹽中段
買賣,建物,0,1,,,,,N,住宅大樓(11F含以上有電梯),420000,,,,Y,1091231,地上權房屋;房子需大整修,1,41,,,,,36.64,,鋼筋混凝土造,16,750217,35,七層,,,北斗街5號7樓之13,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),680000,,,,Y,1100126,,1,5,2.1,其他:第四種商業區,,,23.21,,鋼筋混凝土造,12,691117,40,十一層,,,府北路20號11樓之2,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,3,2,2,Y,透天厝,98800000,,,,N,1100104,,1,32,415,其他:第三種商業區,,,266.19,,加強磚造,3,620313,48,一層;二層;三層;騎樓,,,公園二路185號,鹽埕區,大東段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),6450000,,,,Y,1100121,,1,30,8.92,其他:第三種商業區,,,81.33,住家用,鋼筋混凝土造,14,951205,14,十一層,,,七賢三路3號十一樓之2,鹽埕區,興福段
買賣,房地(土地+建物),2,1,,32,10,30,Y,透天厝,21900000,,,,N,1100115,,1,31,129,其他:第四種商業區,,,645.62,,鋼筋混凝土造,6,681211,41,一層;二層;三層;四層;五層;六層;騎樓;地下層,,,建國四路219號,鹽埕區,興橋段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1850000,,,,Y,1100118,,1,5,3.9,其他:第五種商業區,,,45.61,,鋼筋混凝土造,12,701124,39,四層,,,府北路25號4樓之29,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),1400000,,,,Y,1100207,,1,5,2.7,其他:第四種商業區,,,33.36,,鋼筋混凝土造,12,710226,39,七層,,,河西路103號7樓之6,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,0,1,Y,住宅大樓(11F含以上有電梯),670000,,,,Y,1100217,,1,5,2.27,其他:第四種商業區,,,25.48,,鋼筋混凝土造,12,691117,40,四層,,,府北路20號4樓之5,鹽埕區,府北段五小段
買賣,房地(土地+建物)+車位,1,1,2,3,2,2,Y,住宅大樓(11F含以上有電梯),15900000,,,,Y,1100127,,1,29,17.38,其他:第四種商業區,,,204.92,見其它登記事項,見其它登記事項,15,1070830,2,五層,0,29.46,建國四路158號五樓之3,鹽埕區,興仁段
買賣,建物,0,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),1650000,,,,Y,1100121,建物坐落土地，土地所有權人為高雄市政府,1,41,,,,,94.14,,鋼筋混凝土造,16,750217,35,十三層,,,七賢三路269號13樓之11,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),2100000,,,,Y,1100222,,1,5,3.7,其他:第四種商業區,,,53.39,,鋼筋混凝土造,12,710226,39,十層,,,河西路103號10樓之12,鹽埕區,府北段五小段
買賣,建物,0,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1050000,,,,Y,1100204,,1,41,,,,,90.32,,鋼筋混凝土造,16,750217,35,十一層,,,七賢三路269號11樓之11,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1580000,,,,Y,1100115,,1,41,5.46,其他:第五種商業區,,,51.19,,鋼筋混凝土造,12,730324,37,十二層,,,七賢三路213號12樓之6,鹽埕區,鹽壽段
買賣,房地(土地+建物),4,1,,3,1,2,Y,住宅大樓(11F含以上有電梯),17500000,,,,Y,1100202,,1,33,26.05,其他:第四種商業區,,,250.41,,鋼筋混凝土造,12,721230,37,一層;二層;騎樓,,,大勇路50之4號,鹽埕區,大勇段
買賣,房地(土地+建物)+車位,1,1,1,2,2,1,Y,住宅大樓(11F含以上有電梯),7350000,,,,Y,1100124,,1,36,7.43,其他:第五種商業區,,,97.77,見其它登記事項,見其它登記事項,15,1070329,3,十層,0,6.78,大義街113號十樓之1　,鹽埕區,大智段
買賣,房地(土地+建物),1,3,,3,2,3,Y,住宅大樓(11F含以上有電梯),3830000,,,,Y,1100210,,1,33,12.5,其他:第四種商業區,,,123.33,,鋼筋混凝土造,12,700603,40,十層,,,七賢三路68號10樓之5,鹽埕區,大勇段
買賣,土地,1,0,,,,,Y,,10000,,,,N,1091230,此筆土地為道路用地,1,32,5,其他:第三種商業區,,,,,,,,,,,,大東段594-0地號,鹽埕區,大東段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),8790000,,,1250000,Y,1090702,,1,29,9.35,其他:第五種商業區,,,132.01,見其它登記事項,見其它登記事項,15,1090515,0,十二層,1250000,16.32,大公路101號十二樓之2,鹽埕區,興仁段
買賣,房地(土地+建物),1,1,,2,2,2,Y,住宅大樓(11F含以上有電梯),6100000,,,,Y,1100107,,1,29,6.71,其他:第五種商業區,,,90.16,見其它登記事項,見其它登記事項,15,1090515,1,二層,,,大公路101號二樓之2,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,Y,住宅大樓(11F含以上有電梯),8730000,,,1300000,Y,1100109,,1,29,7.97,其他:第五種商業區,,,123.21,見其它登記事項,見其它登記事項,15,1090515,1,十四層,1300000,16.41,大公路101號十四樓之1,鹽埕區,興仁段
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,Y,住宅大樓(11F含以上有電梯),9600000,,,950000,Y,1100114,,1,29,9.37,其他:第五種商業區,,,131.55,見其它登記事項,見其它登記事項,15,1090515,1,十一層,950000,5.54,大公路99號十一樓之3,鹽埕區,興仁段
買賣,土地,2,0,,,,,Y,,600000,,,,N,1100312,,1,35,8,,,,,,,,,,,,,大成段500-0地號,鹽埕區,大成段
買賣,建物,0,1,,,,,N,住宅大樓(11F含以上有電梯),720000,,,,Y,1100303,本件交易僅建物，土地向高雄市政府承租,1,41,,,,,36.64,,鋼筋混凝土造,16,750217,35,九層,,,北斗街5號9樓之15,鹽埕區,鹽壽段
買賣,房地(土地+建物),1,1,,,,,N,住宅大樓(11F含以上有電梯),350000,,,,N,1100316,,1,5,3.45,其他:第四種商業區,,,38.24,,鋼筋混凝土造,12,700114,40,四層,,,府北路31號4樓之1,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1160000,,,,Y,1100316,,1,5,9.68,其他:第五種商業區,,,44.2,,鋼筋混凝土造,12,701124,39,九層,,,府北路25號9樓之32,鹽埕區,府北段五小段
買賣,房地(土地+建物),2,1,,3,2,1,Y,公寓(5F含以下無電梯),4200000,,,,N,1100304,,1,33,30.58,其他:第四種住宅區,,,116.44,,鋼筋混凝土造,5,730107,37,二層,,,必忠街166號2樓之1,鹽埕區,大勇段
買賣,土地,1,0,,,,,Y,,2080000,,,,N,1100205,,1,36,26.4,其他:第四種商業區,,,,,,,,,,,,大智段859-0地號,鹽埕區,大智段
買賣,房地(土地+建物),2,1,,3,2,3,Y,透天厝,13100000,,,,N,1091105,,1,38,70,其他:第五種商業區,,,235.04,住商用,見使用執照,4,380519,71,一層;二層;三層;四層;騎樓,,,新樂街200號,鹽埕區,鹽國段
買賣,房地(土地+建物),3,1,,4,2,2,Y,華廈(10F含以下有電梯),7700000,,,,N,1100224,,1,32,26.67,其他:第三種商業區,,,169.94,住家用,鋼筋混凝土造,9,810710,29,五層,,,瀨南街43號五樓,鹽埕區,大東段
買賣,房地(土地+建物),1,1,,1,1,1,Y,住宅大樓(11F含以上有電梯),1930000,,,,Y,1100219,,1,5,4.57,其他:第五種商業區,,,56.09,,鋼筋混凝土造,12,701124,39,四層,,,府北路25號4樓之25,鹽埕區,府北段五小段
買賣,房地(土地+建物),1,1,,2,1,1,Y,住宅大樓(11F含以上有電梯),5250000,,,,Y,1100308,,1,5,7.94,其他:第四種商業區,,,77.34,見其它登記事項,見其它登記事項,15,1071107,2,六層,,,七賢二路437號六樓之3,鹽埕區,府北段五小段
買賣,土地,5,0,,,,,Y,,9000000,,,,N,1100104,,1,32,40,其他:第三種商業區,,,,,,,,,,,,大東段488-0地號,鹽埕區,大東段
買賣,房地(土地+建物),2,1,,2,2,2,Y,透天厝,11200000,,,,N,1100128,,1,35,55,其他:第四種住宅區,,,149.02,住商用,加強磚造,3,560628,54,一層;二層;三層;騎樓,,,大智路32號,鹽埕區,大成段
