申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明,備註欄
買賣,房地(土地+建物)+車位,1,1,1,2,2,2,有,住宅大樓(11層含以上有電梯),"8,750,000",,,"850,000",有,1121101,6.71,其他-第五種商業區,,,54.81,見其他登記事項,見其他登記事項,八層;,1090515,3,八層;,"850,000",5.54,高雄市鹽埕區大公路１０１號八樓之２,鹽埕區,興仁段,03910000,01081000,,停車位編號53
買賣,房地(土地+建物)+車位,1,1,1,3,2,2,有,住宅大樓(11層含以上有電梯),"8,700,000",,,,有,1120913,6.79,其他-第四種商業區,,,110.18,見其他登記事項,見其他登記事項,十五層;,1120418,0,十五層;,0,27.83,高雄市鹽埕區七賢二路４６０號十五樓之１,鹽埕區,鹽府段,01960000,00478000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物),3,1,,4,2,2,有,透天厝,"8,600,000",,,,無,1121013,89.00,其他-第四種商業區,,,134.96,住家用,加強磚造,一層;二層;,0500625,62,一層;二層;,,,高雄市鹽埕區必忠街１６８巷５號,鹽埕區,大勇段,01010000,00153000,0103.土地增值稅或其他稅費0105.地政士服務費0304.其他增建,
買賣,房地(土地+建物),4,1,,3,2,2,有,住宅大樓(11層含以上有電梯),"8,500,000",,,,有,1121118,15.21,其他-第四種商業區,,,112.09,無建物主要用途資料,鋼筋混凝土造,八層;,0721230,40,八層;,,,高雄市鹽埕區必忠街１７１號８樓之１２,鹽埕區,大勇段,01620000,00060000,,
買賣,房地(土地+建物),1,1,,,,,無,透天厝,"7,924,000",,,,無,1120801,131.00,其他-第四種商業區,,,179.82,無建物主要用途資料,加強磚造,一層;二層;,0690812,43,一層;二層;,,,高雄市鹽埕區大公路３９號,鹽埕區,鹽中段,08130000,00422000,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物),2,1,,3,1,3,有,華廈(10層含以下有電梯),"7,500,000",,,,無,1121115,27.69,其他-第四種住宅區,,,84.02,無建物主要用途資料,鋼筋混凝土造,七層;,0730721,39,七層;,,,高雄市鹽埕區公園二路２６之１２號７樓之２,鹽埕區,大成段,02110000,00774000,0102.傢俱設備費0301.陽台外推,陽台外推入口處及前陽台
買賣,房地(土地+建物),2,1,,5,2,2,有,華廈(10層含以下有電梯),"7,000,000",,,,有,1121020,25.22,其他-第四種商業區,,,143.09,無建物主要用途資料,鋼筋混凝土造,二層;,0690124,44,二層;,,,高雄市鹽埕區新樂街２５１號２樓之１,鹽埕區,興橋段,02660000,00020000,,
買賣,土地,8,0,,,,,無,,"6,600,000",,,,無,1121027,33.04,其他-第五種商業區,,,,無建物主要用途資料,無建物主要建材,,,,,,,,鹽埕區,大成段,07120000,,0201.親友、員工、共有人或其他特殊關係間之交易,
買賣,房地(土地+建物),1,1,,2,2,1,有,住宅大樓(11層含以上有電梯),"6,300,000",,,,有,1121023,6.52,其他-第五種商業區,,,54.78,住家用,鋼筋混凝土造,十四層;,0980119,15,十四層;,,,高雄市鹽埕區光榮街８５號十四樓之３,鹽埕區,鹽新段,00560000,00756000,,
買賣,房地(土地+建物),1,1,,,,,無,公寓(5樓含以下無電梯),"6,150,000",,,,無,1121113,31.92,其他-第四種住宅區,,,107.34,無建物主要用途資料,鋼筋混凝土造,一層;騎樓;,0681027,44,一層;騎樓;,,,高雄市鹽埕區建國四路１００號,鹽埕區,興福段,03210000,00321000,0201.親友、員工、共有人或其他特殊關係間之交易,
